Date : 2024-10-03 20:22:20
Directory : /Users/knysh/FICT/7term/economics/lab2/task1-2
Total : 304 files,  19919 codes, 320 comments, 3417 blanks, all 23656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps/web/features/header                                                                                                          |          2 |         41 |          0 |         16 |         57 |
| apps/web/features/search-menu                                                                                                     |          5 |        423 |          2 |         70 |        495 |
| apps/web/features/search-menu (Files)                                                                                             |          1 |        193 |          0 |         37 |        230 |
| apps/web/features/search-menu/api                                                                                                 |          1 |         14 |          0 |          4 |         18 |
| apps/web/features/search-menu/ui                                                                                                  |          3 |        216 |          2 |         29 |        247 |
| apps/web/features/settings                                                                                                        |         11 |        534 |          6 |         85 |        625 |
| apps/web/features/settings (Files)                                                                                                |          5 |        310 |          6 |         43 |        359 |
| apps/web/features/settings/api                                                                                                    |          1 |         27 |          0 |          5 |         32 |
| apps/web/features/settings/ui                                                                                                     |          5 |        197 |          0 |         37 |        234 |
| apps/web/features/sidebar                                                                                                         |         12 |        748 |         21 |        162 |        931 |
| apps/web/features/sidebar (Files)                                                                                                 |          2 |        166 |         11 |         41 |        218 |
| apps/web/features/sidebar/lib                                                                                                     |          5 |        109 |          3 |         33 |        145 |
| apps/web/features/sidebar/lib (Files)                                                                                             |          1 |          1 |          0 |          1 |          2 |
| apps/web/features/sidebar/lib/parser                                                                                              |          4 |        108 |          3 |         32 |        143 |
| apps/web/features/sidebar/store                                                                                                   |          1 |         11 |          0 |          3 |         14 |
| apps/web/features/sidebar/ui                                                                                                      |          4 |        462 |          7 |         85 |        554 |
| apps/web/features/toolbar                                                                                                         |          9 |        689 |         10 |        132 |        831 |
| apps/web/features/toolbar (Files)                                                                                                 |          2 |         32 |          0 |          8 |         40 |
| apps/web/features/toolbar/ui                                                                                                      |          7 |        657 |         10 |        124 |        791 |
| apps/web/features/user                                                                                                            |          3 |        234 |          9 |         45 |        288 |
| apps/web/providers                                                                                                                |          3 |         25 |          0 |         11 |         36 |
| apps/web/public                                                                                                                   |          2 |         30 |          1 |          1 |         32 |
| apps/web/shared                                                                                                                   |         18 |        194 |         72 |         59 |        325 |
| apps/web/shared (Files)                                                                                                           |          1 |         17 |          0 |          6 |         23 |
| apps/web/shared/api                                                                                                               |          2 |          7 |          0 |          4 |         11 |
| apps/web/shared/lib                                                                                                               |          6 |         73 |         72 |         23 |        168 |
| apps/web/shared/middleware                                                                                                        |          2 |         37 |          0 |         10 |         47 |
| apps/web/shared/types                                                                                                             |          4 |         17 |          0 |          4 |         21 |
| apps/web/shared/ui                                                                                                                |          2 |         41 |          0 |         11 |         52 |
| apps/web/shared/util                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| apps/web/widgets                                                                                                                  |          4 |        239 |         15 |         54 |        308 |
| apps/web/widgets/layouts                                                                                                          |          4 |        239 |         15 |         54 |        308 |
| apps/web/widgets/layouts (Files)                                                                                                  |          2 |        163 |         15 |         39 |        217 |
| apps/web/widgets/layouts/landing                                                                                                  |          2 |         76 |          0 |         15 |         91 |
| packages                                                                                                                          |        100 |      2,098 |        113 |        401 |      2,612 |
| packages/config                                                                                                                   |          3 |         49 |         10 |          3 |         62 |
| packages/eslint-config                                                                                                            |          4 |        105 |          3 |          4 |        112 |
| packages/lib                                                                                                                      |         47 |        365 |         14 |        137 |        516 |
| packages/lib (Files)                                                                                                              |          5 |         64 |          6 |         12 |         82 |
| packages/lib/dto                                                                                                                  |          5 |         37 |          0 |         22 |         59 |
| packages/lib/error                                                                                                                |          3 |         22 |          0 |          4 |         26 |
| packages/lib/responses                                                                                                            |          4 |         16 |          0 |          7 |         23 |
| packages/lib/responses (Files)                                                                                                    |          1 |          2 |          0 |          2 |          4 |
| packages/lib/responses/auth                                                                                                       |          1 |          9 |          0 |          3 |         12 |
| packages/lib/responses/messages                                                                                                   |          2 |          5 |          0 |          2 |          7 |
| packages/lib/responses/messages (Files)                                                                                           |          1 |          1 |          0 |          1 |          2 |
| packages/lib/responses/messages/auth                                                                                              |          1 |          4 |          0 |          1 |          5 |
| packages/lib/schema                                                                                                               |         27 |        201 |          2 |         85 |        288 |
| packages/lib/schema (Files)                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| packages/lib/schema/auth                                                                                                          |          8 |         64 |          1 |         28 |         93 |
| packages/lib/schema/auth (Files)                                                                                                  |          3 |         17 |          0 |          8 |         25 |
| packages/lib/schema/auth/password                                                                                                 |          3 |         20 |          0 |         12 |         32 |
| packages/lib/schema/auth/user-auth                                                                                                |          2 |         27 |          1 |          8 |         36 |
| packages/lib/schema/document                                                                                                      |          6 |         43 |          0 |         19 |         62 |
| packages/lib/schema/search                                                                                                        |          3 |         21 |          0 |          9 |         30 |
| packages/lib/schema/shared                                                                                                        |          5 |         35 |          0 |         11 |         46 |
| packages/lib/schema/user-schema                                                                                                   |          4 |         33 |          1 |         17 |         51 |
| packages/lib/validator                                                                                                            |          3 |         25 |          6 |          7 |         38 |
| packages/prisma                                                                                                                   |         20 |        259 |         70 |         73 |        402 |
| packages/prisma (Files)                                                                                                           |          6 |        149 |          0 |         19 |        168 |
| packages/prisma/migrations                                                                                                        |         14 |        110 |         70 |         54 |        234 |
| packages/prisma/migrations/20231127204314_init                                                                                    |          1 |         12 |          3 |          4 |         19 |
| packages/prisma/migrations/20231130195502_add_user_token                                                                          |          1 |         11 |          3 |          4 |         18 |
| packages/prisma/migrations/20231202210039_add_verification_token                                                                  |          1 |         11 |          3 |          4 |         18 |
| packages/prisma/migrations/20231203183236_token_add_account_model                                                                 |          1 |         17 |         16 |         11 |         44 |
| packages/prisma/migrations/20231203202910_add_password_reset_request                                                              |          1 |          8 |          1 |          2 |         11 |
| packages/prisma/migrations/20231204181658_add_avatar_model                                                                        |          1 |          8 |          4 |          4 |         16 |
| packages/prisma/migrations/20231220131539_add_document_model                                                                      |          1 |          8 |          1 |          2 |         11 |
| packages/prisma/migrations/20231220170707_nullable_document_title                                                                 |          1 |          1 |          1 |          1 |          3 |
| packages/prisma/migrations/20231222124026_connect_user_document                                                                   |          1 |          1 |          1 |          1 |          3 |
| packages/prisma/migrations/20231223190402_add_index_to_documents                                                                  |          1 |          1 |          1 |          1 |          3 |
| packages/prisma/migrations/20231226144057_add_block_model                                                                         |          1 |         14 |          5 |          6 |         25 |
| packages/prisma/migrations/20240110172937_change_document_block                                                                   |          1 |         13 |         19 |          9 |         41 |
| packages/prisma/migrations/20240110212749_update_document_model                                                                   |          1 |          3 |         10 |          3 |         16 |
| packages/prisma/migrations/20240117102918_documents_delete_cascade                                                                |          1 |          2 |          2 |          2 |          6 |
| packages/tsconfig                                                                                                                 |          4 |         65 |          0 |          4 |         69 |
| packages/ui                                                                                                                       |         22 |      1,255 |         16 |        180 |      1,451 |
| packages/ui (Files)                                                                                                               |          6 |        171 |          1 |         15 |        187 |
| packages/ui/components                                                                                                            |         15 |        999 |         11 |        136 |      1,146 |
| packages/ui/components (Files)                                                                                                    |          2 |        132 |          0 |          6 |        138 |
| packages/ui/components/inputs                                                                                                     |          2 |        116 |          2 |         17 |        135 |
| packages/ui/components/ui                                                                                                         |         11 |        751 |          9 |        113 |        873 |
| packages/ui/styles                                                                                                                |          1 |         85 |          4 |         29 |        118 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/knysh/FICT/7term/economics/lab2/task1-2/.eslintrc.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/.prettierignore                                                                    | Ignore             |         11 |          0 |          2 |         13 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/.prettierrc.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/README.md                                                                          | Markdown           |          1 |          0 |          1 |          2 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/.eslintrc.js                                                              | JavaScript         |          3 |          0 |          1 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/Dockerfile                                                                | Docker             |         32 |          6 |         18 |         56 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/README.md                                                                 | Markdown           |         51 |          2 |         21 |         74 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/nest-cli.json                                                             | JSON               |         10 |          0 |          1 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/package.json                                                              | JSON               |         89 |          0 |          1 |         90 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/app.module.ts                                                         | TypeScript         |         30 |          0 |          5 |         35 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/auth.controller.ts                                               | TypeScript         |         98 |          0 |         16 |        114 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/auth.module.ts                                                   | TypeScript         |         24 |          0 |          4 |         28 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/auth.service.ts                                                  | TypeScript         |        123 |          1 |         28 |        152 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/guards/jwt.guard.ts                                              | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/guards/local.guard.ts                                            | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/guards/refresh.guard.ts                                          | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/password/password.module.ts                                      | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/password/password.service.ts                                     | TypeScript         |         96 |          5 |         22 |        123 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/strategy/jwt.strategy.ts                                         | TypeScript         |         28 |          0 |          6 |         34 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/strategy/local.strategy.ts                                       | TypeScript         |         15 |          0 |          5 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/strategy/refresh.strategy.ts                                     | TypeScript         |         28 |          0 |          6 |         34 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/token/token.module.ts                                            | TypeScript         |         11 |          0 |          4 |         15 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/token/token.service.ts                                           | TypeScript         |         92 |          0 |         20 |        112 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/utils/cookie-options.factory.ts                                  | TypeScript         |         24 |          0 |          7 |         31 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/auth/utils/type.ts                                                    | TypeScript         |          3 |          0 |          3 |          6 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/avatar/avatar.controller.ts                                           | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/avatar/avatar.module.ts                                               | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/avatar/avatar.service.ts                                              | TypeScript         |         49 |          2 |         14 |         65 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/config/config.module.ts                                               | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/config/schema.ts                                                      | TypeScript         |         15 |          4 |          6 |         25 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/document/document.controller.ts                                       | TypeScript         |         45 |          0 |         10 |         55 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/document/document.module.ts                                           | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/document/document.service.ts                                          | TypeScript         |         74 |          0 |         13 |         87 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/lib/crop-image.ts                                                     | TypeScript         |         27 |          0 |          6 |         33 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/lib/services/hashing.service.ts                                       | TypeScript         |         21 |          0 |          8 |         29 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/mail-base.service.ts                                             | TypeScript         |         42 |          0 |          9 |         51 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/mail.module.ts                                                   | TypeScript         |         49 |          0 |          9 |         58 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/mail.service.ts                                                  | TypeScript         |         35 |          0 |          7 |         42 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/templates/forgot-password-email.hbs                              | Handlebars         |          6 |          0 |          3 |          9 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/templates/verify-email.hbs                                       | Handlebars         |         16 |          0 |          4 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/mail/types.ts                                                         | TypeScript         |         27 |          0 |          4 |         31 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/main.ts                                                               | TypeScript         |         38 |          1 |         13 |         52 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/prisma/prisma.module.ts                                               | TypeScript         |         30 |          0 |          4 |         34 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/search/search.controller.ts                                           | TypeScript         |         14 |          0 |          6 |         20 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/search/search.module.ts                                               | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/search/search.service.ts                                              | TypeScript         |         35 |          0 |          7 |         42 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/decorators/user.decorator.ts                                     | TypeScript         |         10 |          0 |          5 |         15 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/user.controller.ts                                               | TypeScript         |         28 |          0 |          9 |         37 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/user.module.ts                                                   | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/user.service.ts                                                  | TypeScript         |         93 |          3 |         20 |        116 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/tsconfig.build.json                                                       | JSON               |          4 |          0 |          1 |          5 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/tsconfig.json                                                             | JSON with Comments |         13 |          0 |          1 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/.eslintrc.js                                                              | JavaScript         |          3 |          0 |          1 |          4 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/Dockerfile                                                                | Docker             |         32 |          8 |         16 |         56 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/README.md                                                                 | Markdown           |         23 |          0 |         14 |         37 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/forgot-password/[requestId]/page.tsx                           | TypeScript JSX     |         58 |          0 |          7 |         65 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/forgot-password/page.tsx                                       | TypeScript JSX     |          8 |          0 |          4 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/layout.tsx                                                     | TypeScript JSX     |         17 |          0 |          4 |         21 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/login/page.tsx                                                 | TypeScript JSX     |         22 |          0 |          7 |         29 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/signup/page.tsx                                                | TypeScript JSX     |         22 |          0 |          7 |         29 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/signup/verify-email/page.tsx                                   | TypeScript JSX     |          8 |          0 |          4 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/d/[documentId]/page.tsx                                   | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/d/layout.tsx                                              | TypeScript JSX     |         24 |          1 |          6 |         31 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/d/page.tsx                                                | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/layout.tsx                                                | TypeScript JSX     |         22 |          0 |          6 |         28 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/settings/layout.tsx                                       | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/settings/page.tsx                                         | TypeScript JSX     |         69 |          0 |         17 |         86 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/fonts.ts                                                              | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/layout.tsx                                                            | TypeScript JSX     |         35 |          0 |          9 |         44 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/metadata.ts                                                           | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/page.tsx                                                              | TypeScript JSX     |         30 |          0 |          8 |         38 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/robots.ts                                                             | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/document/api/document-api.ts                                     | TypeScript         |         67 |          0 |         16 |         83 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/document/index.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/document/model/document-model.ts                                 | TypeScript         |         74 |          0 |         21 |         95 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/commands.ts                                          | TypeScript         |         90 |          0 |         23 |        113 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/constants.ts                                         | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/helpers.ts                                           | TypeScript         |         10 |          0 |          1 |         11 |
